activity,project,workers,duration,time,duration_seconds,start_time,end_time
addons db design,SURVEY MONKEY,Steve Jobs,0:15:14,12:02pm October 23rd - 12:17pm October 23rd,914,2019-10-23T12:02:40+05:45,2019-10-23T12:17:54+05:45
42-add-phone-number-to-users,JOT FORM,Prakash Sharma,0:48:16,11:19am October 23rd - 12:08pm October 23rd,2896,2019-10-23T11:19:49+05:45,2019-10-23T12:08:05+05:45
As a player I should be able to chat with other players in party room,KAHOOT,Dan Abrahamov,3:09:21,11:11am October 23rd - 02:20pm October 23rd,11361,2019-10-23T11:11:36+05:45,2019-10-23T14:20:57+05:45
groom add ons cards,SURVEY MONKEY,Steve Jobs,0:18:33,11:05am October 23rd - 11:24am October 23rd,1113,2019-10-23T11:05:53+05:45,2019-10-23T11:24:26+05:45
review requests,SURVEY MONKEY,Steve Jobs,0:26:21,09:48am October 23rd - 10:15am October 23rd,1581,2019-10-23T09:48:40+05:45,2019-10-23T10:15:01+05:45
Dashboard Components are wobbling when clicked,SURVEY MONKEY,Sagun Karanjit,2:00:00,07:59pm October 22nd - 09:59pm October 22nd,7200,2019-10-22T19:59:52+05:45,2019-10-22T21:59:52+05:45
Social buttons integration research,SURVEY MONKEY,Dan Abrahamov,0:00:03,06:17pm October 22nd - 06:17pm October 22nd,3,2019-10-22T18:17:41+05:45,2019-10-22T18:17:44+05:45
sprint planning,SURVEY MONKEY,Steve Jobs,0:51:37,06:00pm October 22nd - 06:52pm October 22nd,3097,2019-10-22T18:00:51+05:45,2019-10-22T18:52:28+05:45
Social buttons integration research,SURVEY MONKEY,Dan Abrahamov,0:39:40,05:35pm October 22nd - 06:14pm October 22nd,2380,2019-10-22T17:35:12+05:45,2019-10-22T18:14:52+05:45
prepare for sprint planning,SURVEY MONKEY,Steve Jobs,0:44:56,04:39pm October 22nd - 05:24pm October 22nd,2696,2019-10-22T16:39:19+05:45,2019-10-22T17:24:15+05:45
As a player I should be able to chat with other players in party room,KAHOOT,Dan Abrahamov,0:42:59,03:02pm October 22nd - 03:45pm October 22nd,2579,2019-10-22T15:02:16+05:45,2019-10-22T15:45:15+05:45
As a player I should be able to chat with other players in party room,KAHOOT,Dan Abrahamov,1:12:10,01:06pm October 22nd - 02:18pm October 22nd,4330,2019-10-22T13:06:44+05:45,2019-10-22T14:18:54+05:45
redeemed rewards issue fix,SURVEY MONKEY,Steve Jobs,0:01:25,12:40pm October 22nd - 12:42pm October 22nd,85,2019-10-22T12:40:51+05:45,2019-10-22T12:42:16+05:45
redeemed rewards issue fix,SURVEY MONKEY,Steve Jobs,0:15:08,12:25pm October 22nd - 12:40pm October 22nd,908,2019-10-22T12:25:41+05:45,2019-10-22T12:40:49+05:45
redeemed rewards issue fix,SURVEY MONKEY,Steve Jobs,0:14:01,11:58am October 22nd - 12:12pm October 22nd,841,2019-10-22T11:58:46+05:45,2019-10-22T12:12:47+05:45
metrics component,SURVEY MONKEY,Dan Abrahamov,1:30:19,11:16am October 22nd - 12:46pm October 22nd,5419,2019-10-22T11:16:25+05:45,2019-10-22T12:46:44+05:45
prepare for sprint planning,SURVEY MONKEY,Steve Jobs,1:06:14,10:52am October 22nd - 11:58am October 22nd,3974,2019-10-22T10:52:32+05:45,2019-10-22T11:58:46+05:45
prepare for sprint planning,SURVEY MONKEY,Steve Jobs,0:38:21,10:02am October 22nd - 10:41am October 22nd,2301,2019-10-22T10:02:55+05:45,2019-10-22T10:41:16+05:45
backlog grooming meeting,SURVEY MONKEY,Steve Jobs,1:02:00,05:45pm October 21st - 06:47pm October 21st,3720,2019-10-21T17:45:40+05:45,2019-10-21T18:47:40+05:45
prepare for backlog grooming,SURVEY MONKEY,Steve Jobs,0:17:03,05:28pm October 21st - 05:45pm October 21st,1023,2019-10-21T17:28:37+05:45,2019-10-21T17:45:40+05:45
fix pr comments,SURVEY MONKEY,Steve Jobs,0:19:48,05:08pm October 21st - 05:28pm October 21st,1188,2019-10-21T17:08:49+05:45,2019-10-21T17:28:37+05:45
active survey list,SURVEY MONKEY,Steve Jobs,0:34:59,04:33pm October 21st - 05:08pm October 21st,2099,2019-10-21T16:33:50+05:45,2019-10-21T17:08:49+05:45
backlog grooming,SURVEY MONKEY,Steve Jobs,0:25:51,04:07pm October 21st - 04:33pm October 21st,1551,2019-10-21T16:07:59+05:45,2019-10-21T16:33:50+05:45
active survey list component,SURVEY MONKEY,Steve Jobs,0:12:15,03:53pm October 21st - 04:05pm October 21st,735,2019-10-21T15:53:41+05:45,2019-10-21T16:05:56+05:45
As a player I should be able to chat with other players in party room,KAHOOT,Dan Abrahamov,0:47:07,03:19pm October 21st - 04:06pm October 21st,2827,2019-10-21T15:19:46+05:45,2019-10-21T16:06:53+05:45
test and send email,SURVEY MONKEY,Steve Jobs,0:19:49,12:43pm October 21st - 01:03pm October 21st,1189,2019-10-21T12:43:59+05:45,2019-10-21T13:03:48+05:45
As a player I should be able to chat with other players in party room,KAHOOT,Dan Abrahamov,1:57:21,12:35pm October 21st - 02:33pm October 21st,7041,2019-10-21T12:35:51+05:45,2019-10-21T14:33:12+05:45
PR comment fix,SURVEY MONKEY,Dan Abrahamov,1:10:18,11:25am October 21st - 12:35pm October 21st,4218,2019-10-21T11:25:23+05:45,2019-10-21T12:35:41+05:45
As a player I should be able to chat with other players in party room,KAHOOT,Dan Abrahamov,1:03:36,10:21am October 21st - 11:25am October 21st,3816,2019-10-21T10:21:44+05:45,2019-10-21T11:25:20+05:45
deploy to master,SURVEY MONKEY,Steve Jobs,0:48:55,10:19am October 21st - 11:08am October 21st,2935,2019-10-21T10:19:28+05:45,2019-10-21T11:08:23+05:45
review request,SURVEY MONKEY,Steve Jobs,0:19:29,09:59am October 21st - 10:19am October 21st,1169,2019-10-21T09:59:59+05:45,2019-10-21T10:19:28+05:45
test features in staging,SURVEY MONKEY,Steve Jobs,0:39:12,12:46pm October 19th - 01:25pm October 19th,2352,2019-10-19T12:46:18+05:45,2019-10-19T13:25:30+05:45
review merge requests,SURVEY MONKEY,Steve Jobs,0:07:06,10:19pm October 18th - 10:26pm October 18th,426,2019-10-18T22:19:53+05:45,2019-10-18T22:26:59+05:45
review merge requests,SURVEY MONKEY,Steve Jobs,0:17:12,08:15pm October 18th - 08:33pm October 18th,1032,2019-10-18T20:15:49+05:45,2019-10-18T20:33:01+05:45
List Component data should contain links on the items displayed AND the link should not affect the number position,SURVEY MONKEY,Sagun Karanjit,2:00:00,07:33pm October 18th - 09:33pm October 18th,7200,2019-10-18T19:33:04+05:45,2019-10-18T21:33:04+05:45
review merge requests,SURVEY MONKEY,Steve Jobs,0:47:40,07:22pm October 18th - 08:10pm October 18th,2860,2019-10-18T19:22:43+05:45,2019-10-18T20:10:23+05:45
ios build,KAHOOT,Dan Abrahamov,0:26:48,04:56pm October 18th - 05:22pm October 18th,1608,2019-10-18T16:56:01+05:45,2019-10-18T17:22:49+05:45
Participants don't match in Chart Report,SURVEY MONKEY,Dan Abrahamov,1:20:49,11:33am October 18th - 12:54pm October 18th,4849,2019-10-18T11:33:28+05:45,2019-10-18T12:54:17+05:45
add business id to list metrics,SURVEY MONKEY,Steve Jobs,0:53:25,10:12am October 18th - 11:06am October 18th,3205,2019-10-18T10:12:54+05:45,2019-10-18T11:06:19+05:45
question order switching from template bug,SURVEY MONKEY,Steve Jobs,0:19:52,09:47am October 18th - 10:07am October 18th,1192,2019-10-18T09:47:40+05:45,2019-10-18T10:07:32+05:45
Participants don't match in Chart Report,SURVEY MONKEY,Dan Abrahamov,0:53:51,05:44pm October 17th - 06:38pm October 17th,3231,2019-10-17T17:44:14+05:45,2019-10-17T18:38:05+05:45
review soono sprint,JOT FORM,Prakash Sharma,0:20:12,04:48pm October 17th - 05:08pm October 17th,1212,2019-10-17T16:48:39+05:45,2019-10-17T17:08:51+05:45
review soono sprint,JOT FORM,Prakash Sharma,0:30:06,04:18pm October 17th - 04:48pm October 17th,1806,2019-10-17T16:18:33+05:45,2019-10-17T16:48:39+05:45
Db design for chat,KAHOOT,Dan Abrahamov,1:45:36,03:57pm October 17th - 05:43pm October 17th,6336,2019-10-17T15:57:59+05:45,2019-10-17T17:43:35+05:45
Db design for chat,KAHOOT,Dan Abrahamov,0:10:05,03:43pm October 17th - 03:53pm October 17th,605,2019-10-17T15:43:52+05:45,2019-10-17T15:53:57+05:45
Db design for chat,KAHOOT,Dan Abrahamov,0:20:41,02:23pm October 17th - 02:44pm October 17th,1241,2019-10-17T14:23:39+05:45,2019-10-17T14:44:20+05:45
Chat UI,KAHOOT,Dan Abrahamov,0:39:28,01:44pm October 17th - 02:23pm October 17th,2368,2019-10-17T13:44:10+05:45,2019-10-17T14:23:38+05:45
Share popup is hidden within Survey Table,SURVEY MONKEY,Dan Abrahamov,0:10:34,12:35pm October 17th - 12:45pm October 17th,634,2019-10-17T12:35:13+05:45,2019-10-17T12:45:47+05:45
Share popup is hidden within Survey Table,SURVEY MONKEY,Dan Abrahamov,1:14:47,11:17am October 17th - 12:32pm October 17th,4487,2019-10-17T11:17:39+05:45,2019-10-17T12:32:26+05:45
Spike card for `Participants don't match in Chart Report`,SURVEY MONKEY,Dan Abrahamov,1:00:27,10:17am October 17th - 11:17am October 17th,3627,2019-10-17T10:17:12+05:45,2019-10-17T11:17:39+05:45
Spike card for `Participants don't match in Chart Report`,SURVEY MONKEY,Dan Abrahamov,0:00:01,10:17am October 17th - 10:17am October 17th,1,2019-10-17T10:17:06+05:45,2019-10-17T10:17:07+05:45
trello groom,SURVEY MONKEY,Steve Jobs,0:42:54,09:53am October 17th - 10:36am October 17th,2574,2019-10-17T09:53:21+05:45,2019-10-17T10:36:15+05:45
Project Setup,JOT FORM,Dan Abrahamov,1:22:02,04:50pm October 16th - 06:12pm October 16th,4922,2019-10-16T16:50:18+05:45,2019-10-16T18:12:20+05:45
Chat UI,KAHOOT,Dan Abrahamov,0:00:02,04:34pm October 16th - 04:34pm October 16th,2,2019-10-16T16:34:22+05:45,2019-10-16T16:34:24+05:45
Chat UI,KAHOOT,Dan Abrahamov,1:21:12,02:58pm October 16th - 04:19pm October 16th,4872,2019-10-16T14:58:22+05:45,2019-10-16T16:19:34+05:45
Chat UI,KAHOOT,Dan Abrahamov,2:41:06,11:41am October 16th - 02:23pm October 16th,9666,2019-10-16T11:41:54+05:45,2019-10-16T14:23:00+05:45
review database,KAHOOT,Prakash Sharma,0:14:47,10:50am October 16th - 11:05am October 16th,887,2019-10-16T10:50:35+05:45,2019-10-16T11:05:22+05:45
Db design for chat,KAHOOT,Dan Abrahamov,1:06:54,10:34am October 16th - 11:41am October 16th,4014,2019-10-16T10:34:58+05:45,2019-10-16T11:41:52+05:45
sprint planning,JOT FORM,Prakash Sharma,0:11:18,10:34am October 16th - 10:45am October 16th,678,2019-10-16T10:34:18+05:45,2019-10-16T10:45:36+05:45
planning next task,JOT FORM,Prakash Sharma,0:11:44,10:16am October 16th - 10:27am October 16th,704,2019-10-16T10:16:09+05:45,2019-10-16T10:27:53+05:45
dashboard metrics - active surveys list,SURVEY MONKEY,Steve Jobs,0:39:27,10:14am October 16th - 10:53am October 16th,2367,2019-10-16T10:14:04+05:45,2019-10-16T10:53:31+05:45
dashboard metrics - active surveys,SURVEY MONKEY,Steve Jobs,0:00:11,10:13am October 16th - 10:14am October 16th,11,2019-10-16T10:13:53+05:45,2019-10-16T10:14:04+05:45
dashboard metrics - Business leads number component,SURVEY MONKEY,Steve Jobs,0:33:54,09:39am October 16th - 10:13am October 16th,2034,2019-10-16T09:39:59+05:45,2019-10-16T10:13:53+05:45
sprint planning,JOT FORM,Prakash Sharma,0:40:14,09:35pm October 15th - 10:15pm October 15th,2414,2019-10-15T21:35:33+05:45,2019-10-15T22:15:47+05:45
Stop rendering rows after the last item,SURVEY MONKEY,Sagun Karanjit,2:00:00,09:34pm October 15th - 11:34pm October 15th,7200,2019-10-15T21:34:11+05:45,2019-10-15T23:34:11+05:45
Redemption data is not being updated after redeeming the voucher,SURVEY MONKEY,Sagun Karanjit,1:00:00,07:31pm October 15th - 08:31pm October 15th,3600,2019-10-15T19:31:37+05:45,2019-10-15T20:31:37+05:45
Sprint planning,KAHOOT,Dan Abrahamov,0:51:30,05:17pm October 15th - 06:09pm October 15th,3090,2019-10-15T17:17:41+05:45,2019-10-15T18:09:11+05:45
pointing the tasks,JOT FORM,Prakash Sharma,0:10:18,04:38pm October 15th - 04:48pm October 15th,618,2019-10-15T16:38:25+05:45,2019-10-15T16:48:43+05:45
pointing the tasks,JOT FORM,Prakash Sharma,0:13:42,04:24pm October 15th - 04:38pm October 15th,822,2019-10-15T16:24:31+05:45,2019-10-15T16:38:13+05:45
pointing the tasks,JOT FORM,Prakash Sharma,0:30:47,03:53pm October 15th - 04:24pm October 15th,1847,2019-10-15T15:53:28+05:45,2019-10-15T16:24:15+05:45
Spike card for `Participants don't match in Chart Report`,SURVEY MONKEY,Dan Abrahamov,1:26:00,03:51pm October 15th - 05:17pm October 15th,5160,2019-10-15T15:51:38+05:45,2019-10-15T17:17:38+05:45
spike card for gender null,SURVEY MONKEY,Steve Jobs,1:00:06,03:49pm October 15th - 04:49pm October 15th,3606,2019-10-15T15:49:15+05:45,2019-10-15T16:49:21+05:45
Spike card for `Participants don't match in Chart Report`,SURVEY MONKEY,Dan Abrahamov,0:10:36,03:33pm October 15th - 03:44pm October 15th,636,2019-10-15T15:33:57+05:45,2019-10-15T15:44:33+05:45
Spike card for `Participants don't match in Chart Report`,SURVEY MONKEY,Dan Abrahamov,1:00:21,01:26pm October 15th - 02:27pm October 15th,3621,2019-10-15T13:26:39+05:45,2019-10-15T14:27:00+05:45
dashboard metrics - unique business logins,SURVEY MONKEY,Steve Jobs,0:38:10,12:27pm October 15th - 01:05pm October 15th,2290,2019-10-15T12:27:13+05:45,2019-10-15T13:05:23+05:45
dashboard metrics - redeemed rewards,SURVEY MONKEY,Steve Jobs,0:34:13,11:53am October 15th - 12:27pm October 15th,2053,2019-10-15T11:53:00+05:45,2019-10-15T12:27:13+05:45
dashboard metrics,SURVEY MONKEY,Steve Jobs,0:13:17,11:39am October 15th - 11:53am October 15th,797,2019-10-15T11:39:43+05:45,2019-10-15T11:53:00+05:45
document api for answers,SURVEY MONKEY,Steve Jobs,0:20:45,11:18am October 15th - 11:39am October 15th,1245,2019-10-15T11:18:58+05:45,2019-10-15T11:39:43+05:45
refactor survey template update action,SURVEY MONKEY,Steve Jobs,0:00:22,11:18am October 15th - 11:18am October 15th,22,2019-10-15T11:18:36+05:45,2019-10-15T11:18:58+05:45
Fix multiple alerts,KAHOOT,Dan Abrahamov,2:12:49,10:57am October 15th - 01:10pm October 15th,7969,2019-10-15T10:57:24+05:45,2019-10-15T13:10:13+05:45
refactor survey template update action,SURVEY MONKEY,Steve Jobs,0:11:40,10:35am October 15th - 10:46am October 15th,700,2019-10-15T10:35:15+05:45,2019-10-15T10:46:55+05:45
planning next task,JOT FORM,Prakash Sharma,0:10:11,11:09pm October 14th - 11:19pm October 14th,611,2019-10-14T23:09:20+05:45,2019-10-14T23:19:31+05:45
planning next task,JOT FORM,Prakash Sharma,1:12:39,08:54pm October 14th - 10:07pm October 14th,4359,2019-10-14T20:54:37+05:45,2019-10-14T22:07:16+05:45
Backlogg gromminng,KAHOOT,Dan Abrahamov,0:37:48,06:11pm October 14th - 06:48pm October 14th,2268,2019-10-14T18:11:09+05:45,2019-10-14T18:48:57+05:45
refactor survey template question update action,SURVEY MONKEY,Steve Jobs,0:21:19,06:06pm October 14th - 06:28pm October 14th,1279,2019-10-14T18:06:58+05:45,2019-10-14T18:28:17+05:45
add weight to answer,SURVEY MONKEY,Steve Jobs,0:20:20,05:46pm October 14th - 06:06pm October 14th,1220,2019-10-14T17:46:38+05:45,2019-10-14T18:06:58+05:45
Spike card for `Participants don't match in Chart Report`,SURVEY MONKEY,Dan Abrahamov,1:30:38,04:40pm October 14th - 06:11pm October 14th,5438,2019-10-14T16:40:26+05:45,2019-10-14T18:11:04+05:45
add weight to answer,SURVEY MONKEY,Steve Jobs,1:13:47,04:32pm October 14th - 05:46pm October 14th,4427,2019-10-14T16:32:31+05:45,2019-10-14T17:46:18+05:45
Captain should be able to edit game configuration before the game starts.,KAHOOT,Dan Abrahamov,0:20:14,04:19pm October 14th - 04:40pm October 14th,1214,2019-10-14T16:19:50+05:45,2019-10-14T16:40:04+05:45
planning next task,JOT FORM,Prakash Sharma,0:33:04,02:11pm October 14th - 02:44pm October 14th,1984,2019-10-14T14:11:17+05:45,2019-10-14T14:44:21+05:45
Captain should be able to edit game configuration before the game starts.,KAHOOT,Dan Abrahamov,1:37:44,01:42pm October 14th - 03:20pm October 14th,5864,2019-10-14T13:42:38+05:45,2019-10-14T15:20:22+05:45
Captain should be able to edit game configuration before the game starts.,KAHOOT,Dan Abrahamov,1:11:16,12:04pm October 14th - 01:15pm October 14th,4276,2019-10-14T12:04:27+05:45,2019-10-14T13:15:43+05:45
bug fix,SURVEY MONKEY,Dan Abrahamov,0:29:07,11:29am October 14th - 11:58am October 14th,1747,2019-10-14T11:29:04+05:45,2019-10-14T11:58:11+05:45
test features in production app,SURVEY MONKEY,Steve Jobs,0:27:06,10:31am October 14th - 10:58am October 14th,1626,2019-10-14T10:31:34+05:45,2019-10-14T10:58:40+05:45
deploy to production,SURVEY MONKEY,Steve Jobs,0:00:15,10:31am October 14th - 10:31am October 14th,15,2019-10-14T10:31:19+05:45,2019-10-14T10:31:34+05:45
deploy to production,SURVEY MONKEY,Steve Jobs,0:05:44,10:00am October 14th - 10:06am October 14th,344,2019-10-14T10:00:35+05:45,2019-10-14T10:06:19+05:45
deploy to production,SURVEY MONKEY,Steve Jobs,0:26:47,09:18am October 14th - 09:45am October 14th,1607,2019-10-14T09:18:46+05:45,2019-10-14T09:45:33+05:45
reset mack dashboard,SURVEY MONKEY,Steve Jobs,0:05:09,09:13am October 14th - 09:18am October 14th,309,2019-10-14T09:13:37+05:45,2019-10-14T09:18:46+05:45
planning next task,JOT FORM,Prakash Sharma,0:10:15,06:05am October 14th - 06:15am October 14th,615,2019-10-14T06:05:25+05:45,2019-10-14T06:15:40+05:45
List Component data should contain links on the items displayed AND the link should not affect the number position (6),SURVEY MONKEY,Sagun Karanjit,2:00:00,07:34pm October 13th - 09:34pm October 13th,7200,2019-10-13T19:34:40+05:45,2019-10-13T21:34:40+05:45
test bugs in staging,SURVEY MONKEY,Steve Jobs,0:04:23,05:47pm October 12th - 05:51pm October 12th,263,2019-10-12T17:47:18+05:45,2019-10-12T17:51:41+05:45
deploy to staging,SURVEY MONKEY,Steve Jobs,0:30:22,05:16pm October 12th - 05:47pm October 12th,1822,2019-10-12T17:16:56+05:45,2019-10-12T17:47:18+05:45
